year,month,day,date,weekday#,business day,Holiday,
2015,1,1,2015-01-01,5,0,1,
2015,1,2,2015-01-02,6,1,0,
2015,1,3,2015-01-03,7,0,0,
2015,1,4,2015-01-04,1,0,0,
2015,1,5,2015-01-05,2,1,0,
2015,1,6,2015-01-06,3,1,0,
2015,1,7,2015-01-07,4,1,0,
2015,1,8,2015-01-08,5,1,0,
2015,1,9,2015-01-09,6,1,0,
2015,1,10,2015-01-10,7,0,0,
2015,1,11,2015-01-11,1,0,0,
2015,1,12,2015-01-12,2,1,0,
2015,1,13,2015-01-13,3,1,0,
2015,1,14,2015-01-14,4,1,0,
2015,1,15,2015-01-15,5,1,0,
2015,1,16,2015-01-16,6,1,0,
2015,1,17,2015-01-17,7,0,0,
2015,1,18,2015-01-18,1,0,0,
2015,1,19,2015-01-19,2,0,1,
2015,1,20,2015-01-20,3,1,0,
2015,1,21,2015-01-21,4,1,0,
2015,1,22,2015-01-22,5,1,0,
2015,1,23,2015-01-23,6,1,0,
2015,1,24,2015-01-24,7,0,0,
2015,1,25,2015-01-25,1,0,0,
2015,1,26,2015-01-26,2,1,0,
2015,1,27,2015-01-27,3,1,0,
2015,1,28,2015-01-28,4,1,0,
2015,1,29,2015-01-29,5,1,0,
2015,1,30,2015-01-30,6,1,0,
2015,1,31,2015-01-31,7,0,0,
2015,2,1,2015-02-01,1,0,0,
2015,2,2,2015-02-02,2,1,0,
2015,2,3,2015-02-03,3,1,0,
2015,2,4,2015-02-04,4,1,0,
2015,2,5,2015-02-05,5,1,0,
2015,2,6,2015-02-06,6,1,0,
2015,2,7,2015-02-07,7,0,0,
2015,2,8,2015-02-08,1,0,0,
2015,2,9,2015-02-09,2,1,0,
2015,2,10,2015-02-10,3,1,0,
2015,2,11,2015-02-11,4,1,0,
2015,2,12,2015-02-12,5,1,0,
2015,2,13,2015-02-13,6,1,0,
2015,2,14,2015-02-14,7,0,0,
2015,2,15,2015-02-15,1,0,0,
2015,2,16,2015-02-16,2,0,1,
2015,2,17,2015-02-17,3,1,0,
2015,2,18,2015-02-18,4,1,0,
2015,2,19,2015-02-19,5,1,0,
2015,2,20,2015-02-20,6,1,0,
2015,2,21,2015-02-21,7,0,0,
2015,2,22,2015-02-22,1,0,0,
2015,2,23,2015-02-23,2,1,0,
2015,2,24,2015-02-24,3,1,0,
2015,2,25,2015-02-25,4,1,0,
2015,2,26,2015-02-26,5,1,0,
2015,2,27,2015-02-27,6,1,0,
2015,2,28,2015-02-28,7,0,0,
2015,3,1,2015-03-01,1,0,0,
